5971, -0.19, 0.15, 0.89, -52.57, -15.97, 46.99, 323.04
6005, -0.13, 0.18, 0.94, -148.81, -50.59, 73.95, 321.47
6041, -0.28, -0.10, 0.77, -169.26, -58.24, 68.53, 321.01
6075, -0.42, 0.01, 1.21, -156.35, -48.84, 52.45, 319.05
6110, -0.16, -0.27, 1.13, -14.74, 2.60, 111.02, 318.63
6146, -0.20, 0.01, 0.86, 16.59, -13.14, 133.40, 317.29
6180, -0.22, -0.14, 1.04, -25.99, 38.40, 92.84, 314.02
6215, -0.17, 0.02, 1.16, 52.02, -30.54, 127.54, 312.08
6250, -0.42, -0.06, 0.79, 45.25, 5.12, 130.98, 309.66
6285, -0.35, 0.44, -2.00, -59.11, 114.24, -245.73, 307.05
6320, 0.22, -0.97, 0.63, 71.27, 112.39, 250.13, 304.16
6355, -1.14, 0.65, 0.74, 250.13, 250.13, 250.13, 310.25
6390, -0.60, 0.89, 0.98, 34.11, -20.83, 220.07, 320.22
6425, -1.02, 0.15, 0.82, 73.66, 124.27, -68.82, 323.46
6460, -0.67, 0.17, 0.77, -46.52, 181.61, 49.48, 320.40
6495, -0.56, 0.30, 0.47, -53.26, -113.48, 72.16, 321.76
6530, -0.37, 0.26, 0.73, -77.53, -60.14, 22.43, 322.03
6564, -0.47, 0.35, 0.55, -64.05, -28.08, 88.36, 320.94
6600, -0.79, -0.04, 1.12, -99.06, 18.27, 68.51, 320.41
6635, -0.48, 0.54, 1.20, -86.89, -118.21, -125.99, 316.75
6669, -0.48, 0.17, 0.96, -11.21, 5.21, 19.27, 318.39
6705, -0.55, 0.23, 1.02, 40.67, 6.69, -63.02, 319.78
6740, -0.40, 0.09, 0.69, -46.20, 28.02, 30.47, 320.11
6774, -0.30, 0.14, 0.88, 63.92, -66.98, -83.08, 321.35
6809, -0.50, 0.18, 1.10, 103.18, -116.26, 13.46, 320.96
6845, -0.66, -0.00, 1.11, 25.18, -177.26, 144.24, 321.09
6879, 0.14, 0.51, 0.75, 48.74, -29.62, 250.13, 320.17
6914, -0.06, 0.27, 0.67, -133.50, 237.60, 190.01, 314.53
