,time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,compass_1,compass_2,compass_3
4913,8.7,28.96,-0.3232,-0.5184,-0.3384,-0.7157,212.17,32.59,203.8,54.06
4914,9.45,30.76,-0.3402,-0.4774,-0.3327,-0.7387,222.6,27.31,210.6,55.01
4915,9.6,29.11,-0.3481,-0.4571,-0.3587,-0.7357,225.49,32.82,208.47,55.75
4916,9.3,30.61,-0.3516,-0.4217,-0.3711,-0.7489,233.6,35.1,208.28,55.73
4917,8.7,30.76,-0.3724,-0.4501,-0.3065,-0.7515,230.41,17.12,221.81,54.06
4918,9.9,30.01,-0.3805,-0.3942,-0.2796,-0.7885,246.91,14.81,223.52,54.64
4919,10.05,28.36,-0.3978,-0.267,-0.2368,-0.8452,280.45,14.15,225.27,53.64
4920,9.45,31.36,-0.4097,-0.195,0.0524,-0.8896,324.61,344.6,231.86,53.46
4921,8.85,29.56,-0.3596,-0.1953,0.3202,-0.8544,348.13,316.27,228.04,61.57
4922,10.5,27.91,-0.4709,0.0224,0.2238,-0.853,28.84,338.14,235.0,57.99
4923,10.8,26.71,-0.5339,0.0246,0.3242,-0.7805,45.24,328.68,242.33,57.72
4924,10.8,27.01,-0.584,0.1082,0.3069,-0.7436,62.59,337.28,249.85,57.03
4925,10.5,28.66,-0.5953,0.1029,0.2906,-0.742,59.82,339.13,251.84,59.11
4926,10.2,27.16,-0.5872,0.0831,0.3129,-0.7419,58.77,335.11,250.1,58.74
4927,10.2,27.61,-0.5624,0.0687,0.2876,-0.7722,50.87,336.03,246.65,58.28
4928,10.5,27.61,-0.5644,-0.0204,0.1461,-0.8122,15.14,344.77,248.58,57.53
4929,9.15,28.96,-0.5648,-0.1934,-0.0453,-0.801,317.68,351.0,252.06,59.85
4930,9.9,29.71,-0.5802,-0.3183,-0.1901,-0.7252,273.96,352.63,260.23,56.58
4931,10.2,28.96,-0.5444,-0.5827,-0.1073,-0.5937,252.04,300.43,297.54,52.93
