,time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,heading
288,0.4693,0.507,-0.723,-0.0001,85.48,220.38,266.46,305.84
289,0.4694,0.506,-0.7236,-0.0014,85.8,220.22,266.3,308.79
290,0.4707,0.5047,-0.7237,-0.0021,86.23,220.29,266.27,306.79
291,0.4721,0.503,-0.7239,-0.0029,86.7,220.35,266.2,308.35
292,0.4722,0.5017,-0.7248,-0.0031,86.88,220.28,266.0,309.32
293,0.4705,0.5008,-0.7265,-0.0031,86.76,219.95,265.61,303.58
294,0.4688,0.5,-0.7282,-0.0032,86.62,219.63,265.23,302.53
295,0.4685,0.4989,-0.7292,-0.0034,86.71,219.5,265.0,306.95
296,0.4691,0.4977,-0.7296,-0.0036,86.95,219.51,264.89,306.4
297,0.4693,0.4966,-0.7301,-0.0042,87.19,219.43,264.76,307.26
298,0.4693,0.4957,-0.7307,-0.0051,87.42,219.3,264.6,306.64
299,0.4695,0.4948,-0.7313,-0.0058,87.63,219.21,264.47,307.18
300,0.4701,0.4938,-0.7315,-0.0064,87.91,219.19,264.39,306.53
301,0.4698,0.493,-0.7323,-0.0074,88.1,219.01,264.21,308.41
302,0.4682,0.4923,-0.7337,-0.0079,88.03,218.68,263.87,306.95
303,0.4671,0.4916,-0.7349,-0.0079,87.95,218.46,263.59,305.17
304,0.4667,0.4908,-0.7357,-0.0081,87.99,218.34,263.41,306.95
305,0.4668,0.4901,-0.7361,-0.0088,88.18,218.24,263.29,305.78
306,0.4672,0.4892,-0.7364,-0.0094,88.43,218.21,263.21,304.62
307,0.4676,0.4884,-0.7367,-0.0097,88.6,218.19,263.14,306.53
308,0.4671,0.4878,-0.7374,-0.0103,88.68,218.02,262.95,308.84
309,0.4655,0.4872,-0.7388,-0.0116,88.71,217.61,262.61,302.86
310,0.4654,0.4865,-0.7393,-0.0124,88.88,217.49,262.49,308.13
311,0.4655,0.4857,-0.7397,-0.0132,89.09,217.39,262.36,313.32
312,0.465,0.485,-0.7405,-0.014,89.22,217.2,262.17,302.31
313,0.4629,0.4845,-0.7421,-0.0147,89.06,216.77,261.78,307.18
314,0.4601,0.484,-0.7442,-0.0152,88.78,216.27,261.31,304.49
315,0.4583,0.4835,-0.7456,-0.016,88.67,215.89,260.96,304.7
316,0.4579,0.4828,-0.7463,-0.0169,88.82,215.71,260.78,309.15
317,0.4578,0.482,-0.7469,-0.0179,89.03,215.54,260.62,310.85
318,0.4569,0.4814,-0.7477,-0.0205,89.33,215.13,260.37,306.35
319,0.4569,0.4806,-0.7481,-0.0229,89.77,214.86,260.21,307.91
320,0.4575,0.4794,-0.7485,-0.0247,90.24,214.7,260.08,303.47
321,0.4575,0.4786,-0.749,-0.026,90.51,214.52,259.92,306.35
322,0.4568,0.4777,-0.7499,-0.0271,90.63,214.25,259.65,308.66
323,0.4558,0.4768,-0.7511,-0.0276,90.64,213.99,259.36,306.44
324,0.4553,0.4759,-0.7519,-0.0281,90.71,213.82,259.14,305.2
325,0.4553,0.475,-0.7525,-0.0289,90.9,213.68,258.97,305.88
