,time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,heading
122,0.9181,0.1623,-0.1967,0.3034,30.46,334.37,319.94,315.18
123,0.9108,0.1841,-0.2011,0.31,29.2,331.61,318.69,314.26
124,0.8804,0.2525,-0.2436,0.3191,31.06,321.48,314.7,313.91
125,0.8589,0.3006,-0.2356,0.3411,23.04,316.29,312.05,313.39
126,0.8336,0.337,-0.221,0.3776,13.09,312.81,308.4,311.48
127,0.8205,0.3588,-0.2194,0.3871,9.45,310.42,307.31,312.08
128,0.8308,0.3281,-0.1932,0.406,6.26,315.33,306.62,311.86
129,0.8426,0.285,-0.1844,0.4181,8.3,320.49,305.73,312.03
130,0.8915,0.1423,-0.2042,0.3785,29.7,335.01,310.68,311.97
131,0.8853,0.0939,-0.2345,0.3905,39.97,338.17,308.5,312.22
132,0.8779,0.1397,-0.2253,0.3987,33.01,333.69,307.27,317.01
133,0.88,0.1181,-0.2411,0.3919,38.75,335.13,307.68,315.18
134,0.8848,0.0974,-0.2439,0.3849,41.78,337.34,308.75,314.63
135,0.8897,0.0966,-0.2064,0.3955,33.83,339.49,308.99,312.51
136,0.8977,0.0953,-0.176,0.3926,27.9,341.42,310.47,316.49
137,0.8829,0.1518,-0.1838,0.4045,23.28,334.82,308.16,315.56
138,0.8543,0.2034,-0.1603,0.4507,10.38,330.39,303.0,313.92
139,0.8406,0.2094,-0.1537,0.4754,6.8,330.07,300.11,313.55
140,0.8421,0.1948,-0.1404,0.4828,5.55,332.33,299.66,315.18
141,0.872,0.1342,-0.1662,0.4405,19.76,337.29,304.41,312.03
142,0.8792,0.1096,-0.1855,0.425,26.94,338.89,305.88,313.84
143,0.9025,0.0413,-0.1488,0.4021,27.23,348.48,310.59,313.71
144,0.8916,0.021,-0.1241,0.4349,23.42,351.46,307.12,316.5
145,0.8587,0.0919,-0.1217,0.4893,13.69,343.81,299.67,316.49
146,0.8443,0.0783,-0.1001,0.5206,10.05,346.27,296.07,314.64
147,0.8261,0.0537,-0.165,0.5361,24.83,344.22,292.31,311.39
148,0.826,0.0609,-0.2334,0.5094,37.76,339.05,293.15,314.25
149,0.7792,0.0141,-0.3211,0.5382,58.04,335.14,284.2,313.67
150,0.6804,0.1516,-0.4422,0.5644,51.01,308.59,268.21,313.83
151,0.6354,0.1677,-0.5037,0.5607,53.76,299.29,261.21,312.58
152,0.5729,0.2225,-0.5226,0.5909,39.25,292.13,254.96,312.18
153,0.616,0.2186,-0.5235,0.5465,47.91,292.95,260.84,309.07
154,0.5832,0.3293,-0.5287,0.5215,31.71,283.48,263.86,311.53
155,0.6349,0.3147,-0.5188,0.4782,41.93,286.39,270.26,311.66
156,0.6401,0.295,-0.5126,0.4905,43.04,288.84,269.6,309.38
157,0.5983,0.3207,-0.5255,0.5129,34.9,284.7,265.28,309.54
158,0.5186,0.3688,-0.5388,0.5521,17.43,278.58,258.91,308.47
159,0.5274,0.4245,-0.4791,0.5586,3.57,280.4,265.22,308.17
160,0.5543,0.4669,-0.4158,0.5495,354.02,282.62,272.89,307.87
161,0.6617,0.4189,-0.4098,0.4677,17.31,288.46,283.25,312.03
162,0.7946,0.0819,-0.5244,0.2948,103.45,314.83,296.48,310.01
163,0.7367,-0.2024,-0.6181,0.1851,160.56,24.25,352.33,312.66
164,0.7002,-0.2243,-0.617,0.2806,163.71,346.88,304.94,316.7
165,0.6609,-0.2305,-0.6249,0.3458,160.4,311.51,263.23,314.13
166,0.5483,-0.3596,-0.6565,0.3729,162.31,218.33,155.73,314.76
167,0.3981,-0.3959,-0.6912,0.4549,131.18,229.36,153.38,312.25
168,0.3504,-0.3632,-0.7064,0.4963,117.66,239.63,161.38,314.23
169,0.2466,-0.4309,-0.7054,0.5058,103.23,233.81,144.74,311.33
170,0.1497,-0.4515,-0.7074,0.5228,86.3,235.95,138.63,312.9
171,0.0723,-0.4766,-0.6861,0.5449,76.43,239.76,132.94,312.46
172,-0.0118,-0.504,-0.6334,0.5871,70.45,247.67,127.01,309.81
173,-0.0409,-0.4714,-0.5905,0.6538,69.23,260.07,132.14,311.84
174,0.0315,-0.4567,-0.5663,0.6853,82.86,265.51,140.77,307.54
175,0.07,-0.5236,-0.5621,0.6363,96.33,254.31,131.49,305.74
176,0.1094,-0.4693,-0.6158,0.6234,92.09,253.36,140.5,310.87
177,0.1883,-0.4375,-0.6362,0.607,100.82,252.45,149.02,315.96
178,0.2687,-0.4631,-0.6344,0.5575,118.04,242.96,145.97,307.94
179,0.2504,-0.4517,-0.5781,0.6317,118.68,261.38,156.19,313.26
180,0.2882,-0.4081,-0.5378,0.6791,119.59,280.12,174.58,307.76
181,0.3273,-0.4533,-0.538,0.6308,135.06,271.52,168.72,308.98
182,0.3306,-0.5318,-0.5192,0.5816,148.27,247.42,142.12,306.87
183,0.3417,-0.5778,-0.4692,0.5737,159.31,233.01,123.32,316.68
184,0.3304,-0.4956,-0.3999,0.6967,145.39,309.46,192.43,314.42
185,0.3464,-0.5099,-0.3172,0.7207,145.38,339.54,216.21,310.56
186,0.3668,-0.5903,-0.261,0.67,158.51,26.54,259.51,313.23
187,0.3974,-0.6159,-0.2085,0.6475,148.88,54.88,286.12,310.65
188,0.4256,-0.642,-0.1859,0.61,140.62,71.57,303.63,310.56
189,0.4672,-0.6252,-0.1773,0.5995,132.5,67.32,302.82,309.09
190,0.4992,-0.6061,-0.2008,0.5857,131.17,63.49,304.34,314.73
191,0.4931,-0.6216,-0.2109,0.5709,133.21,69.64,310.75,313.41
192,0.519,-0.5252,-0.2701,0.618,136.69,34.92,284.15,311.36
193,0.5675,-0.4028,-0.2784,0.6619,116.27,9.66,266.6,311.36
194,0.5884,-0.3597,-0.2777,0.6688,107.78,5.05,265.25,307.09
195,0.6031,-0.3646,-0.2598,0.6602,105.28,9.17,269.36,307.16
196,0.6553,-0.2148,-0.2654,0.6737,79.19,354.33,266.37,306.8
197,0.6168,-0.002,-0.2706,0.7391,39.37,335.02,255.28,308.99
198,0.5777,-0.0277,-0.119,0.8071,21.0,350.63,250.32,309.6
199,0.5527,-0.2452,0.0884,0.7916,33.77,25.44,253.69,303.99
200,0.4811,-0.3817,0.2267,0.7559,42.08,49.53,254.74,305.46
201,0.4415,-0.2676,0.294,0.8044,19.68,46.04,241.71,308.71
202,0.3874,-0.2446,0.3762,0.8053,11.76,53.1,234.32,308.61
203,0.3745,-0.3046,0.397,0.7806,20.53,59.52,237.14,305.11
204,0.3847,-0.2201,0.3137,0.8397,14.73,44.58,232.25,308.61
205,0.4683,-0.1535,0.2098,0.8444,7.2,29.94,238.99,308.14
206,0.4074,-0.2907,0.2143,0.8388,36.49,38.9,238.3,310.53
207,0.2896,-0.4182,0.1673,0.8445,75.1,41.45,232.51,313.01
208,0.264,-0.4592,0.1461,0.8355,87.3,42.26,232.66,314.5
209,0.2902,-0.4174,0.122,0.8525,79.71,35.91,231.0,316.56
210,0.2522,-0.3403,0.0558,0.9041,71.92,19.68,217.61,317.77
211,0.2525,-0.2955,0.0343,0.9207,63.58,14.46,214.81,319.05
212,0.2576,-0.2918,0.0146,0.921,64.0,12.06,214.72,316.64
213,0.2533,-0.287,-0.0397,0.923,66.72,4.95,212.17,318.66
214,0.2985,-0.2248,-0.0446,0.9265,52.6,3.3,216.49,316.04
215,0.4037,-0.1342,-0.1167,0.8974,39.15,353.84,227.38,312.6
216,0.4027,-0.001,-0.2142,0.8899,20.08,337.28,226.67,314.44
217,0.5132,0.2374,-0.1462,0.8117,332.77,330.33,248.22,309.62
218,0.6223,0.365,0.0162,0.6922,296.59,329.5,272.77,308.6
219,0.697,0.3963,-0.0112,0.5975,305.49,320.46,288.75,306.58
220,0.7118,0.4162,-0.1385,0.5485,329.92,309.57,291.88,305.54
221,0.6985,0.4974,-0.3017,0.4167,0.81,288.85,298.08,312.81
222,0.6422,0.5756,-0.4779,0.1667,49.91,262.42,302.53,302.63
223,0.5814,0.5282,-0.5941,-0.1737,121.9,237.11,298.79,304.0
224,0.5472,0.3743,-0.5937,-0.4561,164.74,83.52,155.61,298.91
225,0.433,0.2412,-0.5889,-0.6384,109.74,70.71,152.15,294.54
226,0.4433,0.0702,-0.4866,-0.7495,64.91,52.25,135.04,300.14
227,0.4973,0.132,-0.402,-0.7574,73.71,36.65,126.02,297.98
228,0.5316,0.084,-0.3145,-0.7819,55.51,27.06,118.38,297.45
229,0.5098,-0.0071,-0.2999,-0.8063,34.23,30.9,120.15,298.36
230,0.4381,-0.1656,-0.3369,-0.8168,2.82,44.08,124.16,294.27
231,0.4096,-0.2617,-0.1837,-0.8544,325.49,33.59,123.53,296.75
232,0.2924,-0.1816,0.2508,-0.9048,303.24,336.72,150.14,290.77
233,0.2409,-0.2268,0.5494,-0.7672,284.41,291.79,171.23,297.26
234,0.137,-0.1788,0.5502,-0.8041,308.01,291.58,178.49,306.87
235,0.0489,-0.3031,0.572,-0.7606,297.75,280.9,198.55,308.25
236,0.014,-0.3478,0.5397,-0.7665,293.5,282.12,205.03,307.87
237,-0.057,-0.2088,0.3252,-0.9205,319.36,318.4,194.87,312.12
238,-0.1139,-0.0596,-0.0204,-0.9915,345.89,1.55,193.01,309.47
239,0.0388,0.0288,-0.4995,-0.865,10.17,59.91,177.8,306.11
240,0.0572,0.043,-0.8739,-0.4809,16.25,122.44,181.17,305.71
241,-0.2006,0.1799,-0.9375,-0.2203,325.46,149.46,206.47,301.02
242,-0.4417,0.4746,-0.7402,0.178,249.25,164.08,253.73,300.81
243,-0.3091,0.6888,-0.392,0.5256,209.77,176.95,303.06,302.89
244,-0.2381,0.3691,0.0301,0.8977,279.15,17.57,143.77,307.32
245,-0.2153,-0.0253,0.2987,0.9294,20.24,33.57,156.98,309.64
246,0.0129,0.0194,0.4012,0.9157,354.75,47.31,180.46,309.63
247,0.249,0.2334,0.3987,0.8512,286.85,44.46,197.23,313.41
248,0.3388,0.6377,0.1128,0.6825,217.52,300.09,277.7,311.78
249,0.7511,0.624,-0.2054,0.0644,26.39,278.09,338.74,309.49
250,0.7766,0.2877,-0.1904,-0.5271,73.6,342.1,62.33,311.19
251,0.8966,0.118,-0.272,-0.3288,68.86,357.73,39.57,313.64
252,0.8567,0.0255,-0.4497,-0.2513,103.15,17.06,40.99,310.48
253,0.7435,-0.0904,-0.5981,-0.285,113.85,60.58,77.08,309.45
254,0.7764,0.0814,-0.5104,-0.3606,116.69,27.43,65.34,311.19
255,0.9607,0.2609,-0.0927,-0.0206,21.77,329.57,359.49,310.78
256,0.9216,0.351,0.1052,0.1277,327.06,319.7,350.31,310.17
257,0.904,0.3837,-0.1887,-0.0054,40.39,312.52,351.73,311.39
258,0.9126,0.3547,-0.2033,-0.0011,43.65,315.81,351.19,309.86
259,0.8654,0.3889,-0.3152,0.0207,63.94,306.01,340.65,310.15
260,0.8196,0.344,-0.4568,-0.0355,101.29,303.07,336.19,310.09
261,0.7921,0.2962,-0.5174,-0.1311,127.6,310.92,347.06,307.76
262,0.6979,0.2573,-0.6483,-0.1624,162.63,280.28,314.91,308.62
263,0.2324,0.1975,-0.9449,-0.1191,58.17,171.23,201.33,304.88
264,-0.3084,0.2695,-0.9123,-0.0009,291.59,168.29,216.53,305.15
265,-0.5709,0.3328,-0.7503,-0.016,244.4,130.71,256.26,302.67
266,-0.496,0.3753,-0.783,-0.0082,259.19,142.83,249.2,301.44
267,-0.4518,0.3123,-0.8347,-0.039,266.24,149.46,234.53,302.35
268,-0.4835,0.2594,-0.8281,-0.1144,264.28,138.99,233.64,303.29
269,-0.3748,0.2492,-0.8527,-0.2653,299.08,132.14,226.36,300.68
270,-0.3325,0.174,-0.8197,-0.4327,313.52,116.11,218.58,300.71
271,-0.0296,0.4981,-0.8062,-0.3178,31.19,145.76,238.59,302.88
272,0.3039,0.7714,-0.5589,-0.0163,42.79,208.95,293.73,303.48
273,0.2774,0.8682,-0.3779,0.1625,351.68,217.31,311.56,308.05
274,0.1413,0.9552,-0.1198,0.2308,311.95,200.86,341.21,309.32
275,0.0397,0.9822,0.0031,0.1837,317.67,184.72,359.48,312.6
276,-0.02,0.9814,-0.0625,-0.1805,41.19,176.22,352.03,311.68
277,-0.0875,0.8185,-0.0638,-0.5641,131.67,148.27,330.23,310.47
278,-0.1269,0.8777,0.0459,-0.4598,109.92,161.66,356.39,307.04
279,-0.1676,0.8868,0.1196,-0.4137,101.4,161.76,6.67,310.07
280,-0.2027,0.8064,0.1424,-0.537,134.97,152.98,1.8,308.44
281,-0.1977,0.5825,0.1154,-0.7799,145.2,9.69,215.57,308.85
282,-0.056,0.5119,0.2363,-0.824,120.94,317.65,162.33,308.43
283,-0.0048,0.4934,0.3043,-0.8148,107.61,303.72,150.31,307.98
284,-0.1408,0.6875,0.4434,-0.5576,126.14,221.63,91.9,309.32
285,-0.3154,0.7845,0.4119,-0.3398,104.93,159.34,45.14,311.3
286,-0.3976,0.8505,0.3406,0.0507,21.28,133.67,39.08,311.24
287,-0.3975,0.7511,0.1968,0.4891,289.35,104.6,57.01,312.39
288,-0.378,0.5661,0.1038,0.7252,264.11,59.74,96.28,314.86
289,-0.3236,0.4152,0.0185,0.85,272.13,24.63,128.25,317.35
290,-0.2848,0.3114,-0.0893,0.9022,284.43,1.17,144.57,318.32
291,-0.2414,0.2998,-0.1788,0.9055,282.01,346.69,154.88,319.36
292,-0.2542,0.3968,-0.2219,0.8536,255.57,343.21,155.1,318.95
293,-0.2362,0.4374,-0.2886,0.8183,243.1,329.49,165.15,318.76
294,-0.1318,0.4361,-0.3785,0.8057,253.24,303.95,191.38,320.39
295,0.0446,0.4568,-0.3728,0.8065,270.6,295.39,215.48,319.69
296,0.1282,0.6387,-0.341,0.6778,257.79,265.58,256.05,321.56
297,0.0499,0.8943,-0.2628,0.3588,284.02,200.64,320.08,322.44
298,-0.0393,0.9928,-0.109,0.0311,351.94,175.91,347.62,321.34
299,-0.1478,0.9816,-0.0755,-0.0945,18.79,162.03,349.72,319.84
300,-0.2425,0.9577,-0.1003,-0.1183,20.5,150.25,345.31,320.52
301,-0.2497,0.9114,-0.1956,-0.2622,44.69,142.91,328.19,319.59
302,-0.2192,0.8416,-0.2854,-0.4027,67.11,134.06,307.97,316.15
303,-0.2181,0.7471,-0.3931,-0.4897,68.14,120.89,284.79,316.18
304,-0.2306,0.654,-0.413,-0.5904,71.15,103.97,267.3,316.17
305,-0.1956,0.6409,-0.3534,-0.6527,88.6,95.73,261.82,312.55
306,-0.1825,0.6947,-0.3627,-0.5938,87.68,108.45,272.52,314.7
307,-0.2228,0.678,-0.3883,-0.583,76.27,106.31,271.36,316.18
308,-0.2363,0.6147,-0.4116,-0.63,70.89,96.66,260.63,313.93
309,-0.2283,0.4977,-0.4678,-0.6938,56.97,85.63,242.9,314.42
310,-0.2559,0.4714,-0.5,-0.6799,45.31,86.55,242.6,313.26
311,-0.2818,0.4925,-0.5108,-0.6459,40.77,90.43,247.67,314.7
312,-0.2995,0.5848,-0.4864,-0.576,44.95,99.79,261.5,314.7
313,-0.3705,0.6051,-0.5131,-0.4831,23.58,105.32,270.4,315.14
314,-0.4975,0.5106,-0.5736,-0.4035,341.73,100.47,270.95,313.71
315,-0.6131,0.3833,-0.5351,-0.4369,322.52,81.89,272.76,312.56
316,-0.6508,0.324,-0.5308,-0.4357,311.78,75.62,273.58,313.29
317,-0.7756,0.1845,-0.4886,-0.3546,282.34,54.31,290.37,313.0
318,-0.8162,0.1024,-0.4932,-0.283,263.31,42.18,302.11,313.42
319,-0.8513,0.1363,-0.3901,-0.3233,289.65,36.34,306.53,314.41
320,-0.8495,0.2579,-0.2075,-0.4108,343.82,37.93,305.6,311.7
321,-0.8411,0.2494,-0.128,-0.4626,1.77,32.55,302.63,313.0
322,-0.8684,0.1055,-0.1285,-0.4671,345.67,17.8,302.33,311.22
323,-0.8838,-0.0999,-0.1787,-0.4207,312.86,358.36,309.43,311.22
324,-0.8708,-0.2221,-0.112,-0.424,314.91,341.58,311.78,310.42
325,-0.8847,-0.1476,-0.1208,-0.4254,320.34,350.3,310.34,309.63
326,-0.9115,-0.009,-0.227,-0.3429,310.33,8.83,316.82,309.46
327,-0.8779,-0.0087,-0.4387,-0.1918,258.64,13.98,328.7,309.46
328,-0.9008,-0.1689,-0.3792,-0.1274,266.87,342.43,351.51,314.04
329,-0.8707,-0.3722,-0.2963,-0.1246,285.01,313.63,0.25,312.68
330,-0.8242,-0.5137,-0.1506,-0.1847,308.03,298.35,350.41,312.69
331,-0.732,-0.594,0.0086,-0.3335,314.88,288.57,327.33,310.92
332,-0.6522,-0.5736,0.0468,-0.4934,299.33,293.03,306.11,307.47
333,-0.6394,-0.4927,0.03,-0.5896,294.29,307.62,291.14,308.22
334,-0.5216,-0.4692,0.104,-0.7049,292.85,310.22,268.94,307.24
335,-0.1812,-0.4322,0.2677,-0.8419,281.8,308.5,223.73,305.51
336,0.0886,-0.4242,0.4061,-0.8045,262.04,298.22,197.92,300.17
337,0.2351,-0.3854,0.4554,-0.7673,252.66,299.11,179.05,297.9
338,0.1287,-0.2165,0.5746,-0.7787,301.97,286.33,183.17,297.91
339,-0.0249,-0.168,0.6384,-0.7508,334.52,277.57,194.96,296.34
340,-0.136,-0.1437,0.7044,-0.6817,359.5,268.07,202.82,299.74
341,-0.2296,-0.1473,0.7812,-0.5615,22.29,254.39,209.82,298.43
342,-0.2343,-0.2639,0.811,-0.4667,15.37,242.69,220.74,299.93
343,-0.3991,-0.3393,0.7258,-0.4458,32.14,252.81,242.0,302.47
344,-0.3528,-0.3353,0.769,-0.4144,30.7,244.99,236.93,304.27
345,-0.1345,-0.2772,0.9178,-0.2505,12.4,212.51,215.42,303.55
346,0.0165,-0.1596,0.9867,0.0273,357.26,176.61,198.41,302.59
347,0.2167,-0.101,0.9308,0.2764,319.33,143.45,199.16,300.83
348,0.422,0.0813,0.8297,0.3563,261.39,126.73,194.73,301.24
349,0.5894,0.2993,0.6096,0.4375,202.67,66.73,230.13,295.7
350,0.7127,0.2968,0.3597,0.524,249.08,355.34,289.8,293.78
