time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,heading
-0.7008,0.6091,0.3713,0.0053,61.86,91.19,32.41,333.36
-0.7681,0.4308,0.4394,-0.1771,111.71,64.39,10.94,329.01
-0.7623,0.1531,0.5855,-0.2294,148.69,352.51,320.82,327.84
-0.6066,-0.1325,0.7455,-0.2423,114.33,254.31,245.02,327.31
-0.0229,-0.7635,0.6002,-0.2367,320.99,199.8,280.23,323.91
0.583,-0.7005,0.3499,-0.2165,269.31,108.79,340.22,322.14
0.6835,-0.5905,0.3577,-0.2371,259.48,85.81,351.16,316.6
0.7189,-0.5982,0.3518,0.0404,305.55,87.63,327.41,315.12
0.6668,-0.5627,0.1649,0.46,34.64,70.9,303.18,313.84
0.2976,-0.6011,-0.1151,0.7326,143.37,37.03,251.43,313.81
-0.1879,-0.3628,-0.365,0.8366,56.04,302.2,138.99,312.39
-0.6703,0.0635,-0.5338,0.5116,257.38,312.48,98.58,312.3
-0.8907,0.2676,-0.3245,0.1725,275.81,29.44,10.37,308.74
-0.907,0.361,-0.1587,-0.1475,339.09,45.52,337.13,305.28
-0.7865,0.3999,0.0057,-0.4706,45.33,42.52,307.13,309.77
-0.6117,0.3666,0.1272,-0.6894,82.76,21.35,271.31,302.74
-0.4505,0.2704,0.1449,-0.8384,71.46,0.04,236.51,304.93
-0.183,0.2277,0.1865,-0.938,59.4,342.13,197.3,304.03
0.2726,0.0905,0.3261,-0.9007,358.3,320.45,146.63,299.58
0.5901,0.0163,0.3574,-0.7237,313.06,324.2,109.29,304.43
0.7864,-0.0104,0.3793,-0.4874,285.3,333.61,72.64,308.16
0.9199,-0.0492,0.3338,-0.1999,281.34,356.82,25.66,306.71
0.9449,-0.0146,0.2023,0.257,315.98,8.16,327.97,311.99
0.7537,0.0008,-0.0624,0.6543,10.68,355.23,277.85,346.5
0.2509,-0.115,-0.4822,0.8314,51.34,304.36,199.87,4.76
-0.0745,-0.071,-0.6,0.7934,2.66,285.67,168.26,39.09
-0.1839,-0.0833,-0.6354,0.7453,347.44,280.36,157.52,36.29
-0.2775,-0.0823,-0.6305,0.7202,333.23,281.35,148.83,43.9
-0.4956,0.0176,-0.654,0.5713,276.11,281.16,133.09,47.37
-0.6552,0.1723,-0.5811,0.4509,227.06,311.64,101.86,49.61
-0.6931,0.4412,-0.4009,0.4053,228.07,44.73,30.73,51.43
-0.6034,0.5516,-0.326,0.4747,226.97,63.33,32.34,46.47
-0.5181,0.6419,-0.3291,0.4597,222.8,96.39,8.48,52.43
-0.5376,0.6001,-0.144,0.5746,244.77,63.57,56.18,49.97
-0.6381,0.2793,0.2915,0.6556,0.67,47.62,91.7,45.0
-0.6873,-0.1494,0.4723,0.5312,107.79,30.21,91.03,37.87
-0.8369,-0.2261,0.3588,0.346,98.41,348.52,39.65,49.03
-0.9423,0.2573,0.1981,0.081,38.75,33.23,15.66,52.91
-0.9223,0.3287,-0.1434,0.1439,317.9,37.27,10.57,48.67
-0.9593,0.274,-0.0548,-0.0399,350.44,32.14,353.86,47.58
-0.9596,-0.2321,-0.0822,-0.136,334.46,334.29,346.79,49.54
-0.94,-0.1682,-0.2913,-0.0572,290.95,339.91,359.34,56.82
-0.8764,-0.1221,-0.4649,-0.0293,249.43,340.85,6.26,55.22
-0.8354,-0.0853,-0.5399,-0.0577,228.47,348.72,359.4,54.32
-0.7246,0.2714,-0.5289,-0.3486,289.48,68.95,284.0,54.07
-0.5288,0.4921,-0.4988,-0.479,353.58,88.96,272.5,52.8
-0.4498,0.4993,-0.2368,-0.7016,58.35,63.52,263.64,52.93
-0.4518,0.5508,0.0007,-0.7018,101.37,51.63,271.36,56.44
-0.5501,0.4946,0.1693,-0.6512,112.29,35.52,279.77,59.3
-0.6164,0.5513,0.3645,-0.428,134.25,71.02,341.12,61.62
-0.838,0.2926,0.3648,-0.2811,101.78,26.89,335.9,56.89
-0.9004,0.0209,0.3959,-0.1792,92.18,351.35,333.81,64.08
-0.8553,-0.1594,0.4218,-0.2551,79.61,320.57,312.0,58.11
-0.682,-0.6447,0.2552,-0.2325,5.54,272.21,319.69,45.0
-0.2563,-0.9658,-0.0233,0.0307,5.42,209.8,3.49,46.68
-0.1434,-0.9162,0.3635,0.0884,30.88,191.88,318.34,23.75
0.3933,-0.5944,0.7013,0.0023,293.42,145.7,271.12,20.56
0.7169,-0.0085,0.6826,-0.1416,202.34,290.59,81.66,41.28
0.6538,0.3223,0.6726,-0.1275,254.26,259.25,84.05,52.98
0.3687,0.3746,0.8505,0.0204,280.05,198.36,125.73,54.94
0.2372,0.3217,0.9166,0.0074,307.85,188.9,139.26,49.93
0.0909,0.2065,0.947,-0.2286,351.08,208.16,154.28,52.98
-0.3233,-0.072,0.939,-0.0915,72.87,195.76,193.99,45.0
-0.5106,-0.3549,0.7793,0.0773,116.58,207.42,244.47,30.38
-0.5945,-0.4754,0.6345,-0.1343,77.61,250.73,281.76,11.84
-0.6439,-0.4741,0.5231,-0.295,46.39,270.2,287.65,6.55
-0.6902,-0.4852,0.4153,-0.3401,28.14,280.95,295.9,1.68
-0.5975,-0.556,0.3657,-0.4474,353.07,276.57,289.44,4.76
-0.4092,-0.6212,0.2982,-0.5981,300.12,273.33,277.08,0.0
-0.3881,-0.7609,0.3774,-0.3575,330.91,242.76,298.33,2.68
-0.648,-0.6282,0.421,-0.0898,51.29,260.82,314.28,351.38
-0.6838,-0.6231,0.3172,-0.2087,20.0,271.3,316.27,6.88
-0.5546,-0.7748,0.1024,-0.2857,321.57,256.43,329.76,11.69
-0.3164,-0.9035,-0.0712,-0.2803,293.06,219.61,356.65,348.11
0.0598,-0.9882,-0.1053,-0.0938,340.09,171.95,12.86,338.84
0.5514,-0.8149,-0.0927,-0.1516,343.34,110.44,18.77,334.54
0.5827,-0.8013,-0.0098,-0.1353,336.3,106.89,10.2,324.46
0.5454,-0.8368,-0.0345,0.0323,10.53,113.87,1.3,322.55
0.7062,-0.6804,-0.1958,-0.006,31.14,90.15,16.58,327.2
0.8105,-0.5289,-0.2443,-0.0606,38.78,70.1,22.22,315.78
0.7748,-0.5754,-0.2598,0.0336,52.36,76.93,15.97,312.66
0.8517,-0.3839,-0.3088,0.1784,83.07,46.59,354.89,312.93
0.8914,-0.2688,-0.3551,0.0837,85.38,34.84,3.25,307.45
0.8533,-0.2996,-0.4264,0.0159,95.0,47.46,19.76,312.34
0.812,-0.306,-0.4931,0.0623,114.05,53.15,21.63,307.07
0.8718,-0.0019,-0.4602,0.1678,106.84,345.31,330.79,315.69
0.6994,0.4125,-0.3752,0.4472,17.92,292.51,288.81,301.91
0.6279,0.4836,-0.3407,0.5058,352.97,287.5,284.88,287.97
0.7087,0.5334,-0.2135,0.4093,344.6,290.05,305.37,296.23
0.7834,0.3448,-0.2397,0.4582,6.83,310.42,297.78,290.64
0.8329,0.2742,-0.1605,0.4532,2.16,322.96,302.53,298.99
0.8602,0.0701,-0.0005,0.5051,351.98,353.02,299.4,292.8
0.819,-0.1149,0.3175,0.464,311.15,32.03,293.83,299.98
0.7101,-0.2499,0.4764,0.4542,306.56,61.86,278.59,306.36
0.5884,-0.3587,0.5812,0.4328,316.13,85.85,266.9,308.39
0.4099,-0.4503,0.7007,0.3719,332.28,113.51,254.56,313.83
0.2073,-0.5584,0.7529,0.28,0.07,139.22,253.11,312.51
0.0165,-0.607,0.7621,0.2247,28.68,158.03,254.27,317.1
-0.1284,-0.6254,0.7469,0.1859,50.21,172.57,258.23,324.69
-0.1712,-0.5898,0.7442,0.2628,68.78,166.75,252.68,324.93
-0.1575,-0.5983,0.7003,0.3561,80.6,156.0,252.1,332.53
-0.147,-0.6057,0.6823,0.3822,83.14,152.67,252.65,327.82
-0.1414,-0.5785,0.6821,0.4245,86.31,145.29,246.51,332.1
-0.1211,-0.5012,0.6705,0.5335,88.41,124.05,229.22,330.99
-0.1337,-0.4477,0.6623,0.5857,89.1,112.97,217.76,328.32
-0.1306,-0.3988,0.662,0.621,83.87,105.17,209.45,329.53
-0.08,-0.3131,0.6497,0.6881,64.65,92.73,200.56,332.95
-0.0132,-0.2143,0.6368,0.7405,39.05,84.09,195.6,334.8
0.0389,-0.0797,0.6151,0.7835,8.83,76.63,189.17,328.06
0.0997,0.0246,0.6014,0.7923,341.72,73.8,187.47,329.84
0.1293,0.1323,0.5394,0.8215,318.18,65.79,184.27,324.54
0.1372,0.2371,0.4825,0.8319,296.41,60.24,179.97,325.08
0.1376,0.2734,0.4999,0.8102,289.02,64.49,176.46,330.85
0.1333,0.3009,0.5107,0.7942,284.22,67.88,173.03,326.75
0.1235,0.3446,0.504,0.7823,276.83,70.11,168.11,336.54
0.0811,0.3522,0.5467,0.7553,283.25,78.67,160.43,336.22
0.0503,0.3422,0.6057,0.7166,293.08,87.8,155.77,327.89
0.079,0.33,0.6175,0.7096,291.06,88.64,159.0,326.52
0.0758,0.2664,0.6858,0.673,304.89,95.35,162.71,321.1
0.0968,0.2674,0.6629,0.6926,300.16,91.45,165.27,317.91
0.1632,0.2967,0.6446,0.6855,283.8,90.51,168.36,326.31
0.1151,0.2271,0.7656,0.5907,307.2,107.92,166.32,325.3
0.0541,0.0347,0.7413,0.6681,345.46,95.86,181.21,318.89
-0.1186,-0.3508,0.5227,0.7678,83.02,73.93,194.28,316.88
-0.0233,-0.3737,0.3798,0.8459,81.06,55.34,198.77,322.22
-0.0164,-0.1411,0.4231,0.8949,30.91,51.34,185.36,327.07
-0.0922,-0.0485,0.1009,0.9894,13.16,11.07,169.99,323.64
-0.1267,0.0757,-0.1606,0.9759,338.28,342.56,166.88,331.75
-0.178,0.1395,0.0085,0.9741,328.82,3.94,158.75,346.94
-0.107,0.2743,0.1002,0.9504,300.01,16.72,162.65,336.33
-0.1128,0.4206,0.0849,0.8962,265.43,21.36,156.22,334.54
-0.1623,0.5513,0.1497,0.8046,246.04,50.4,128.54,328.89
-0.2165,0.5839,0.2743,0.7328,265.05,75.64,109.38,324.66
-0.2523,0.6468,0.3174,0.6459,275.02,92.98,92.79,315.73
-0.286,0.6504,0.3769,0.5942,292.25,99.02,89.34,313.49
-0.2717,0.6556,0.3652,0.6024,287.47,99.03,89.48,311.53
-0.2625,0.6778,0.3731,0.5766,288.3,104.09,85.99,309.35
-0.2456,0.7146,0.337,0.5617,280.84,108.8,79.4,307.5
-0.2836,0.6961,0.3683,0.5472,292.89,106.76,81.03,318.09
-0.2962,0.6597,0.3948,0.5667,298.15,102.26,86.93,316.3
-0.2425,0.6925,0.2994,0.61,271.21,101.16,83.84,315.71
-0.2042,0.7513,0.2329,0.5827,257.38,112.33,70.14,312.58
-0.224,0.7291,0.2769,0.5845,266.52,108.41,76.21,325.71
-0.2185,0.6929,0.2784,0.6282,263.0,100.01,85.19,304.56
-0.1873,0.7316,0.2396,0.6101,253.17,108.11,76.35,322.03
-0.1837,0.7009,0.2225,0.6523,247.26,98.47,84.81,314.22
-0.1356,0.5808,0.2026,0.7767,244.18,62.76,122.9,313.88
-0.1795,0.5145,0.2045,0.8132,260.48,53.2,128.96,314.22
-0.2736,0.5189,0.2294,0.7767,274.23,60.91,115.19,327.34
-0.2857,0.586,0.2092,0.7288,265.45,70.58,102.76,318.09
-0.2576,0.5878,0.1837,0.7446,257.37,67.26,106.39,329.59
-0.2537,0.5514,0.212,0.7659,265.03,63.45,112.92,317.42
-0.2558,0.5349,0.2664,0.7599,274.84,67.16,113.78,319.4
-0.226,0.5471,0.2179,0.776,262.72,62.36,116.93,323.81
-0.2303,0.569,0.2405,0.7519,263.7,69.21,111.67,311.53
-0.251,0.6438,0.277,0.6677,267.78,88.54,93.73,320.63
-0.2316,0.6624,0.2441,0.6694,258.63,89.69,91.38,308.09
-0.2525,0.598,0.1947,0.7353,257.27,70.46,104.58,329.98
-0.1909,0.4249,0.2029,0.8613,278.24,42.6,138.47,319.64
-0.2242,0.3888,0.2923,0.8445,296.59,51.73,134.58,327.2
-0.2951,0.3222,0.3107,0.8441,317.73,50.02,131.51,332.1
-0.2643,0.224,0.4112,0.8431,341.54,55.34,140.34,322.05
-0.2066,0.1569,0.3232,0.9101,342.5,41.36,151.12,315.6
-0.2066,0.1185,0.3429,0.9087,351.55,42.37,152.74,322.05
-0.1865,0.0792,0.34,0.9184,357.85,40.85,156.64,314.45
-0.1532,0.0854,0.3768,0.9096,355.43,45.4,159.93,316.67
-0.1363,0.052,0.3809,0.9131,1.02,45.21,163.23,314.45
-0.0865,0.0439,0.3896,0.9159,358.5,46.16,168.89,315.56
0.0136,0.0511,0.4341,0.8993,348.1,51.59,178.86,314.05
0.128,0.0412,0.4544,0.8806,338.24,53.54,191.04,313.24
0.2327,0.0346,0.438,0.8677,329.4,50.47,202.78,317.05
0.3289,-0.0819,0.3516,0.8726,349.87,42.08,219.35,316.49
0.499,-0.0796,0.3198,0.8015,337.9,37.11,240.1,308.48
0.6835,-0.0644,0.3088,0.6583,320.56,31.69,266.5,309.88
0.8503,-0.0422,0.2591,0.4562,312.59,19.67,299.41,309.09
0.9197,-0.0669,0.0891,0.3766,346.95,11.03,314.83,300.39
0.943,-0.1056,0.0153,0.3153,4.33,12.06,323.26,302.1
0.8895,-0.2919,-0.0061,0.3514,24.95,31.84,320.46,305.99
0.8129,-0.3533,-0.2248,0.4047,81.3,31.16,318.87,307.16
0.8273,-0.3295,-0.2088,0.4043,75.46,28.41,317.8,305.17
0.8908,-0.2914,-0.1183,0.328,47.39,28.83,325.74,303.69
0.8906,-0.2858,-0.1199,0.3327,47.64,27.99,325.05,301.14
0.879,-0.1226,-0.1818,0.4235,50.11,3.9,309.42,303.27
0.8371,-0.0873,-0.2853,0.4585,67.8,352.01,300.13,303.3
0.8031,-0.1929,-0.3182,0.4653,87.37,1.09,300.26,302.51
0.8278,-0.0909,-0.37,0.4118,86.85,347.73,302.21,305.17
0.7645,-0.1247,-0.4617,0.4322,108.92,338.98,290.14,298.27
0.7514,-0.0996,-0.5089,0.4081,115.55,330.11,286.23,303.98
0.6658,0.1177,-0.542,0.499,74.37,298.87,263.83,302.4
0.6856,0.2732,-0.5013,0.4517,52.28,292.82,275.72,296.37
0.6827,0.24,-0.5338,0.4375,62.51,291.62,273.18,296.94
0.6388,0.5587,-0.4681,0.246,37.72,266.2,297.75,301.78
0.574,0.6017,-0.4863,0.2685,27.2,258.31,293.2,299.12
0.4932,0.6066,-0.578,0.2338,33.31,245.05,283.43,296.11
0.4436,0.581,-0.6457,0.2207,36.89,237.55,274.15,295.12
0.484,0.505,-0.6922,0.1775,58.78,237.48,268.6,294.23
0.459,0.5226,-0.7177,0.0331,77.25,222.46,267.63,295.61
0.343,0.5322,-0.7626,-0.1325,83.24,192.6,254.63,289.78
0.1503,0.5451,-0.7403,-0.3635,76.46,151.54,242.68,293.5
-0.0922,0.3448,-0.7377,-0.5731,30.04,109.74,219.51,292.0
-0.2426,0.2005,-0.6893,-0.6525,351.65,91.77,216.49,291.14
-0.4133,0.051,-0.6116,-0.6727,308.18,74.08,223.43,290.47
-0.5857,-0.2523,-0.3235,-0.699,265.94,13.29,254.12,291.6
-0.602,-0.5715,0.064,-0.554,292.43,294.04,297.06,293.88
-0.4028,-0.7982,0.3995,-0.2027,359.8,233.61,306.78,289.08
-0.1084,-0.675,0.693,0.2287,54.64,168.92,265.79,298.38
0.1172,-0.4151,0.7894,0.4367,20.46,126.91,230.35,298.12
0.2132,-0.3351,0.7661,0.5053,1.38,113.49,226.8,301.78
0.295,-0.3076,0.5847,0.6903,9.16,82.68,230.3,303.21
0.3097,-0.69,0.1252,0.6419,107.85,88.39,284.23,299.34
0.0941,-0.8524,-0.373,0.3542,84.75,188.07,50.4,299.02
-0.159,-0.7505,-0.641,0.0248,340.81,195.92,79.66,298.52
